Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
15905f1afcd2bb4f35fc689a62ca5421d2a08d627b18438d7cdf3e6621369168,2021-10,Gwent Police,Gwent Police,,,No location,,,Formal action is not in the public interest
a21e96e3610a7bfe9fda9bb1aac9ccb4f537153e018da660c5cb60708e57cc0f,2021-10,Gwent Police,Gwent Police,-3.017924,51.587541,On or near RIDGEWAY VILLAS,W01001602,Newport 012B,Investigation complete; no suspect identified
f3ae6ae759e07e355cf6acaf6b53018e875fda0ddbb11814ae44e5a48069b08e,2021-10,Gwent Police,Gwent Police,-2.990404,51.584539,On or near CAROLINE STREET,W01001687,Newport 014D,Investigation complete; no suspect identified
6700a28defdb8c261c17c958362e3f6175ac361868de8deb4095945172106b32,2021-10,Gwent Police,Gwent Police,-2.914485,51.662087,On or near TON ROAD,W01001565,Monmouthshire 006D,Investigation complete; no suspect identified
f5bb6dd583e58e2f2e76a2aaac54ce929f092a251663ad7fddab08097ea20beb,2021-10,Gwent Police,Gwent Police,-3.223705,51.792014,On or near Petrol Station,W01001438,Blaenau Gwent 004A,Investigation complete; no suspect identified
8d3014cec6dc5ebc87ee5042ae5c1726cfad24b9dff93a1336f5ccec87dc6c6e,2021-10,Gwent Police,Gwent Police,-2.990293,51.590034,On or near GRAFTON ROAD,W01001693,Newport 013E,Investigation complete; no suspect identified
8493a2a6a07629c5f4e6049df66377e15d7c68036fc0db304b47764f08e0d89a,2021-10,Gwent Police,Gwent Police,-3.058776,51.650337,On or near ROSEMEAD,W01001500,Torfaen 011D,Investigation complete; no suspect identified
7f9b1b8afbeb31d56629d8131eb661294e2a780d0ac9e70b4a9889a1c9594cb3,2021-10,Gwent Police,Gwent Police,-2.988408,51.584313,On or near USK WAY,W01001687,Newport 014D,Investigation complete; no suspect identified
d21255f10c2e705efeecad3b10cda086c4555317de38ed8ef0f7c3bbbff91416,2021-10,Gwent Police,Gwent Police,-2.935714,51.587937,On or near HENDRE FARM GARDENS,W01001668,Newport 010D,Investigation complete; no suspect identified
d59af3fd088b389909cae77bdae0a109e253fe603cf1ec00d86a25c00cd83776,2021-10,Gwent Police,Gwent Police,-3.017765,51.821590,On or near CROSS STREET,W01001579,Monmouthshire 001E,Investigation complete; no suspect identified
11c86de834fb495b2c9bc2f4db8e16a035e266350aca27ff5f25027ba9a62330,2021-10,Gwent Police,Gwent Police,-3.018418,51.696047,On or near THE HIGHWAY,W01001513,Torfaen 005D,Investigation complete; no suspect identified
