Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
6937e24cbd827ed3067e77f585f7f9bafe0058a5354aa0d362e2386244a88e20,2020-04,Gwent Police,Gwent Police,-3.002070,51.840697,On or near HEREFORD ROAD,W01001571,Monmouthshire 001D,Investigation complete; no suspect identified
44156ccf1dbdd478fadc280b270a6a8d6ad55a2de7cc65f6426b4ccc96518829,2020-04,Gwent Police,Gwent Police,-2.712328,51.811718,On or near ALMSHOUSE STREET,W01001554,Monmouthshire 004C,Investigation complete; no suspect identified
752e730f0b187c705c9e1424a7868f554af14390b16d77b12e413c3b63dd1ab7,2020-04,Gwent Police,Gwent Police,-3.028490,51.816615,On or near Supermarket,W01001564,Monmouthshire 003D,Investigation complete; no suspect identified
a95f9d8a89264eb4f0623293106c041f1c9afdf60ef8a4a6dc246b241a7036d7,2020-04,Gwent Police,Gwent Police,-2.972480,51.580553,On or near AMELIA AVENUE,W01001644,Newport 013C,Investigation complete; no suspect identified
6420e58123f39918b66be0b76a33e17c470bdbd51ddb60b6c07dd45d458fca7d,2020-04,Gwent Police,Gwent Police,-3.206082,51.661270,On or near CWRT BRYN Y GRUG,W01001349,Caerphilly 009B,Investigation complete; no suspect identified
82aa83247e943e28a856969b4cdc04de9ad76929dad0a0393dc1460d472de9bd,2020-04,Gwent Police,Gwent Police,-2.969860,51.886543,On or near WERNGIFFORD,W01001548,Monmouthshire 001B,Investigation complete; no suspect identified
dadba9f90184eeb79902d5296b721dfbde827cb417474c1bf520e4aa9621c1f7,2020-04,Gwent Police,Gwent Police,-3.129034,51.733268,On or near FLORENCE CLOSE,W01001437,Blaenau Gwent 008C,Investigation complete; no suspect identified
02bf90cfad972db4e89dd61b04edc92fb7e234a2ac02825a02723fbe83dc606e,2020-04,Gwent Police,Gwent Police,-3.011970,51.693666,On or near CAROLINE ROAD,W01001511,Torfaen 005B,Investigation complete; no suspect identified
faf574ba8f14018bb4477293df6aff687710fe644feb869526d2ba2a4f205cf0,2020-04,Gwent Police,Gwent Police,-3.276350,51.607836,On or near Parking Area,W01001333,Caerphilly 018D,Investigation complete; no suspect identified
76e9fdd1dcf631fd5b6e270049774978b3acccc21d442ffcb95fae6bc8398a30,2020-04,Gwent Police,Gwent Police,-2.967943,51.580312,On or near MARSHFIELD STREET,W01001642,Newport 013A,Investigation complete; no suspect identified
