Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
01a25b6f0904150dbe0106e2fa2d005d768819968e099b8e7e77436b80551ac6,2021-06,Humberside Police,Humberside Police,-0.341818,53.744015,On or near PARAGON STREET,E01033104,Kingston upon Hull 029E,Investigation complete; no suspect identified
80a4d551f2f987de3d407a1e9690bb60eae2b65ebc8818ef827ec3001180d243,2021-06,Humberside Police,Humberside Police,-0.678187,53.574109,On or near WEST COMMON LANE,E01013278,North Lincolnshire 016A,Investigation complete; no suspect identified
f22f78258772718249460c1d5756ed293f616467a8740819aafee7b7b1bade70,2021-06,Humberside Police,Humberside Police,-0.413602,53.780736,On or near Supermarket,E01012960,East Riding of Yorkshire 025B,Investigation complete; no suspect identified
3141abf5357afe794cce0e89c1a73e182de3807571f19dac1585b738fa347d6b,2021-06,Humberside Police,Humberside Police,-0.115149,54.119632,On or near Park/Open Space,E01012937,East Riding of Yorkshire 002D,Investigation complete; no suspect identified
6b8cf6c562738cf771301e66c6d283cd115a1d993c6e347539d7d8c94c51acf9,2021-06,Humberside Police,Humberside Police,-0.096794,53.575648,On or near Petrol Station,E01013218,North East Lincolnshire 003A,Investigation complete; no suspect identified
7532ba1f0cbf0e1cd57673d6722c2f5b8e146c6d47ae06ca9ab69f1cc43d2c5b,2021-06,Humberside Police,Humberside Police,-0.320123,53.780388,On or near HAMBLEDON CLOSE,E01012906,Kingston upon Hull 004E,Investigation complete; no suspect identified
25c9d7c45610307191e68eeb1f0400b6389a380f013b07ae189282e325942c48,2021-06,Humberside Police,Humberside Police,-0.045694,53.542271,On or near HEWITTS MANOR,E01013156,North East Lincolnshire 018D,Investigation complete; no suspect identified
0776db1e9b543518d440f0af191dcd4939d28cf397d7943d5d1f21af8b07d415,2021-06,Humberside Police,Humberside Police,-0.646748,53.564013,On or near BOTTESFORD LANE,E01013236,North Lincolnshire 017A,Investigation complete; no suspect identified
14fa51615d5150a0dfaed2f7c6e69c8c7353ff3962b536e0eba9abf3ff8f9e1a,2021-06,Humberside Police,Humberside Police,-0.362097,53.741570,On or near ST PANCRAS CLOSE,E01012891,Kingston upon Hull 030C,Investigation complete; no suspect identified
38f6287bf6fbb7ab00fd5e6211d1dc7b84c55240269af212337adb5b23b2115f,2021-06,Humberside Police,Humberside Police,-0.633897,53.555651,On or near REDWOOD COURT,E01013262,North Lincolnshire 018D,Investigation complete; no suspect identified
26a980d9d6291e8fe16523c684737acefa3dea2f3a16f81910c87f751e2b3583,2021-06,Humberside Police,Humberside Police,-0.357583,53.790031,On or near COMPASS ROAD,E01012769,Kingston upon Hull 005D,Investigation complete; no suspect identified
