Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
8f31249128ff55042e95eb4dde12a12f8763b3f23135fc09efea53a700e0e070,2021-04,Gwent Police,Gwent Police,-3.036516,51.828754,On or near CRESTA ROAD,W01001545,Monmouthshire 001A,Investigation complete; no suspect identified
e01790acbd5e1d6aeeb76116487fd698e52f058d8d3b0baac17721d76ac3a9df,2021-04,Gwent Police,Gwent Police,-2.965950,51.585696,On or near CONWAY ROAD,W01001611,Newport 011A,Investigation complete; no suspect identified
273c2a5e9f5d217601d218b8095ae66952b235022e97d72e6697bbcd76baa57a,2021-04,Gwent Police,Gwent Police,-3.010271,51.661563,On or near YNYS LANE,W01001493,Torfaen 008A,Investigation complete; no suspect identified
3c760f3ce270a06181ab9530734acd599b32d328c34eaa11d95f4472704ee9ae,2021-04,Gwent Police,Gwent Police,-3.247074,51.773471,On or near Parking Area,W01001481,Blaenau Gwent 006E,Investigation complete; no suspect identified
1f21ef18cb236c66c9c8d6a66045dd6b09d5b3feb46f45333cac1fb778f2ad66,2021-04,Gwent Police,Gwent Police,-2.995458,51.587284,On or near Shopping Area,W01001687,Newport 014D,Investigation complete; no suspect identified
eda61c1fc89c7448175c603d03f7604a07a5e45f184fe9cefb46584ef0ef06b4,2021-04,Gwent Police,Gwent Police,-3.280013,51.614324,On or near WOODLAND TERRACE,W01001332,Caerphilly 018C,Investigation complete; no suspect identified
a1f33c888249dcdab96269776f468f63d5099c6999fd14aaa52be0f7cbba207d,2021-04,Gwent Police,Gwent Police,-3.245787,51.720380,On or near STATION ROW,W01001386,Caerphilly 002E,Investigation complete; no suspect identified
01f3375fc0bdd1e58171625f47d4adeadca62e73ab418a6cd82ef088787ab693,2021-04,Gwent Police,Gwent Police,-2.723715,51.589607,On or near CANTERBURY WAY,W01001578,Monmouthshire 009C,Investigation complete; no suspect identified
175255c37929ba1423fb277892ca3eeae231f791718ad60f28eeea132f2e3948,2021-04,Gwent Police,Gwent Police,-2.963507,51.613464,On or near Further/Higher Educational Building,W01001628,Newport 001F,Investigation complete; no suspect identified
3f05ec87e17a16afb87fd55e30dff5caae2fd42a91f5f8628ce2390840b3d818,2021-04,Gwent Police,Gwent Police,-3.007682,51.632156,On or near WILLIAM BROWN CLOSE,W01001505,Torfaen 013B,Investigation complete; no suspect identified
a38390d1465f98263bd93297b1731e6b68bea30e9784e58af0efebd7105af24c,2021-04,Gwent Police,Gwent Police,-3.127252,51.720436,On or near JUBILEE ROAD,W01001476,Blaenau Gwent 009D,Investigation complete; no suspect identified
6ef8990b60253e97eb9d4d649b922c2dc281c89cb78f55c0207e7dfc8b9115db,2021-04,Gwent Police,Gwent Police,-3.287954,51.759453,On or near THE TERRACE,W01001375,Caerphilly 001B,Investigation complete; no suspect identified
cbd067741523b3bd945d621dbadcbf1f8a089e900a7f22f9d0ee62d5fbbaa77a,2021-04,Gwent Police,Gwent Police,-3.233383,51.634272,On or near Sports/Recreation Area,W01001434,Caerphilly 013F,Investigation complete; no suspect identified
4396e5569932c0568d5059bdfe5dda795028fdc3c1586702a713ecd7a5828ef4,2021-04,Gwent Police,Gwent Police,-3.178323,51.618914,On or near Parking Area,W01001431,Caerphilly 015C,Investigation complete; no suspect identified
0218e252b1b6a094b99fcd2d7f6af2dcb25e7a745a18427db3ea5b3edef13db9,2021-04,Gwent Police,Gwent Police,-2.721891,51.807379,On or near WALDBRONN CLOSE,W01001577,Monmouthshire 004E,Investigation complete; no suspect identified
4bb90ac4ce0d7c019d4103153b0c32d61a3da99c7df9a7d3198aba6390f08ef8,2021-04,Gwent Police,Gwent Police,-3.114507,51.636001,On or near Parking Area,W01001327,Caerphilly 014A,Investigation complete; no suspect identified
c1d2ae39880a1c60968422456713f1d176b90a55e356f79dd9d7a57525da7223,2021-04,Gwent Police,Gwent Police,-3.022278,51.682427,On or near OPEN HEARTH CLOSE,W01001517,Torfaen 006D,Investigation complete; no suspect identified
1c8a26a98cf31f1975b8569ead731da99db6b7fdcbd534824b9f85c2da388141,2021-04,Gwent Police,Gwent Police,-2.957924,51.618572,On or near FORGE CLOSE,W01001623,Newport 001A,Investigation complete; no suspect identified
a653712c0353afc5380bcfac2dcaf8162fab44a9791b5d1ed3c1b2e51afdb67a,2021-04,Gwent Police,Gwent Police,-2.812349,51.773225,On or near Petrol Station,W01001581,Monmouthshire 005E,Investigation complete; no suspect identified
f3bc214635792868295697ed244146695f62017b79dbe15fe40c134f9bd8534b,2021-04,Gwent Police,Gwent Police,-3.222074,51.575297,On or near Park/Open Space,W01001370,Caerphilly 023A,Investigation complete; no suspect identified
680f5e0e243381f532af329f66f9765fc3458368f798afedaec3f1a7a130a1f1,2021-04,Gwent Police,Gwent Police,-2.774595,51.589444,On or near Shopping Area,W01001582,Monmouthshire 011D,Investigation complete; no suspect identified
b25edc6e1d5d2ac8eb6adc1f81b933683dfbc6c2fd89394e771670a46b758c7d,2021-04,Gwent Police,Gwent Police,-3.181179,51.592629,On or near THOMAS STREET,W01001346,Caerphilly 020D,Investigation complete; no suspect identified
1824fa5ee87767d5ef3d88283ecb867e704bb0c73947078ddcbb12f174447eb9,2021-04,Gwent Police,Gwent Police,-3.013793,51.572516,On or near Pedestrian Subway,W01001630,Newport 017B,Investigation complete; no suspect identified
7270297d3b8e1f883d5ffd805eec6e019fd533988917868585a6fbc30950130f,2021-04,Gwent Police,Gwent Police,-3.242815,51.664781,On or near LON Y FESEN,W01001417,Caerphilly 008D,Investigation complete; no suspect identified
c933179d8e50c38853ba950db3ab980de076499c5b598b5877235b1e923ad0d3,2021-04,Gwent Police,Gwent Police,-3.246665,51.775957,On or near Supermarket,W01001481,Blaenau Gwent 006E,Investigation complete; no suspect identified
89a0911e48dbbd1e7d2dfb06077c025825c9e9c984fba72e3bce6d325b47fd6d,2021-04,Gwent Police,Gwent Police,-2.987233,51.576069,On or near CONSTABLES CLOSE,W01001659,Newport 018A,Investigation complete; no suspect identified
31d088fe144c70a721ab8d51e2e95b7a991add8f267b574ac5acd86e175cb91f,2021-04,Gwent Police,Gwent Police,-3.052523,51.645600,On or near Pedestrian Subway,W01001497,Torfaen 011A,Investigation complete; no suspect identified
