Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
08389175ecc43425cfdc8e32421e2f9e4aea34096b57585e1bf40f39a0a9387b,2021-05,Gwent Police,Gwent Police,-2.997067,51.587567,On or near Nightclub,W01001687,Newport 014D,Investigation complete; no suspect identified
8aa5bb35be66db54c753406f469b46b524f06e913791dc2a032b90af7300b184,2021-05,Gwent Police,Gwent Police,-3.028274,51.611845,On or near Police Station,W01001621,Newport 003E,Investigation complete; no suspect identified
a9eac9416ab930b552b75daf0b54711ae996182444ef7124026155d14e447d44,2021-05,Gwent Police,Gwent Police,-2.998194,51.588268,On or near Parking Area,W01001685,Newport 014B,Investigation complete; no suspect identified
766d0bcc34da71742a134077132fac10e0f8d5fee1a16e92d6402a690b39caf7,2021-05,Gwent Police,Gwent Police,-2.983208,51.586821,On or near Bus/Coach Station,W01001693,Newport 013E,Investigation complete; no suspect identified
177471fe3a082f8e081333de3e613aa6db0f4ec323e0f2f3908913ed4b9e9419,2021-05,Gwent Police,Gwent Police,-3.202457,51.660327,On or near HIGHFIELDS WAY,W01001349,Caerphilly 009B,Investigation complete; no suspect identified
4bfee3fc6af4772853d35a6d62a1ff89750ef1608dc6db5d804aa70505f784ca,2021-05,Gwent Police,Gwent Police,-3.109082,51.616774,On or near Petrol Station,W01001411,Caerphilly 017A,Investigation complete; no suspect identified
07f8a435ae37d73598d998eaf30bb0d8e09fedbd192403688cc3531f8666869e,2021-05,Gwent Police,Gwent Police,-3.264864,51.743096,On or near WARN'S TERRACE,W01001374,Caerphilly 001A,Investigation complete; no suspect identified
9e740288348983f12274d52856d91b69fdc486dd48c9f07dcb7ddbd204345302,2021-05,Gwent Police,Gwent Police,-2.946911,51.580771,On or near BROADMEAD PARK,W01001646,Newport 015E,Investigation complete; no suspect identified
29f4e85862706f404a95630803b67e2ab746d52bb3bc3f78dd78c3b8396a26ae,2021-05,Gwent Police,Gwent Police,-3.229679,51.716315,On or near JUBILEE ROAD,W01001384,Caerphilly 002C,Investigation complete; no suspect identified
3dbbed8ecbcae0a3b33cf072f4b609b163d6f61ac98ad1629d1504a0923b0414,2021-05,Gwent Police,Gwent Police,-3.255191,51.768250,On or near GAINSBOROUGH ROAD,W01001479,Blaenau Gwent 006D,Investigation complete; no suspect identified
7c79ba8fee90690a3f41cd662d55c92a557f096e92fce8ba5c0b96b30ddf81a5,2021-05,Gwent Police,Gwent Police,-3.279623,51.753843,On or near MORIAH STREET,W01001376,Caerphilly 001C,Investigation complete; no suspect identified
3a4c18fa66d6d0d5e692b865d7f51f55f2c02cbdfb3bd24ffa18a22c5d831f45,2021-05,Gwent Police,Gwent Police,-2.684803,51.639716,On or near TEMPEST DRIVE,W01001586,Monmouthshire 007D,Investigation complete; no suspect identified
1d8870b7d7329394deb755d622c4047720e6b64331a268039395a1761d1e24e8,2021-05,Gwent Police,Gwent Police,-2.697329,51.806988,On or near TUDOR ROAD,W01001599,Monmouthshire 004F,Investigation complete; no suspect identified
d5689e86595a4a35c6a467ea325c605ce6d79486bca401050869081c5caf06f6,2021-05,Gwent Police,Gwent Police,-2.955157,51.613362,On or near BROADWELL COURT,W01001623,Newport 001A,Investigation complete; no suspect identified
ecceec3342d10fb768f900079fc22a575aed3860b5c088c3cff28e67df7d7652,2021-05,Gwent Police,Gwent Police,-2.987910,51.591295,On or near Petrol Station,W01001693,Newport 013E,Investigation complete; no suspect identified
423bd474024e4a464cb6dc66dcd88a74301b063fe635f6eb7fe1660fd42d3fac,2021-05,Gwent Police,Gwent Police,-2.943894,51.575877,On or near Supermarket,W01001646,Newport 015E,Investigation complete; no suspect identified
0cf60554ffced67f2cca2882ba56d6ef2342b446255c12116ea7fc205134e61a,2021-05,Gwent Police,Gwent Police,-2.935714,51.587937,On or near HENDRE FARM GARDENS,W01001668,Newport 010D,Investigation complete; no suspect identified
aa0a867f522ae3ce86b1b7b5ee4b441022a17da588acc8fb8b32122ac9b25fa5,2021-05,Gwent Police,Gwent Police,-2.999660,51.587347,On or near CAXTON PLACE,W01001685,Newport 014B,Investigation complete; no suspect identified
b16d8a420587a3580a57e92673f5840ed2f6e1ce944d5b524f2d118990a544d0,2021-05,Gwent Police,Gwent Police,-2.836430,51.588435,On or near Motorway Service Area,W01001573,Monmouthshire 011B,Investigation complete; no suspect identified
339b6a885e7e92957b2dda2e97236e27e5c8dbd218aa9f3c1c65f5197666a328,2021-05,Gwent Police,Gwent Police,-2.856669,51.764054,On or near SUNNYVALE,W01001581,Monmouthshire 005E,Investigation complete; no suspect identified
20b5dafa9f5d56d1a1cac6fa0cb601ec9ced0990d77c4e04cfd63c26282dbd71,2021-05,Gwent Police,Gwent Police,-2.977310,51.582365,On or near LIBERTY GROVE,W01001644,Newport 013C,Investigation complete; no suspect identified
4f9a0febf4eb615dbe6ecf55e8d51950d270b6321c58e538ed4171722abe2f85,2021-05,Gwent Police,Gwent Police,-3.009412,51.574064,On or near Petrol Station,W01001629,Newport 017A,Investigation complete; no suspect identified
305434a850ce7e5ce3dd6f984cdd95cb7716a84fbc3c02a34330c338a1800088,2021-05,Gwent Police,Gwent Police,-3.264697,51.672235,On or near HEOL ADAM,W01001418,Caerphilly 008E,Investigation complete; no suspect identified
b09bb2ee8d29c9baa2ea9ec1209aade6215842c4846eb00e95918cb5ac5fd19e,2021-05,Gwent Police,Gwent Police,-3.117848,51.683687,On or near HERBERT STREET,W01001359,Caerphilly 006D,Investigation complete; no suspect identified
66db0db4e3a38112fd5afb3bfd3e80aed5bcc6cb08253e21b617476fefc5e2ab,2021-05,Gwent Police,Gwent Police,-3.202871,51.784461,On or near HENDRE,W01001456,Blaenau Gwent 004C,Investigation complete; no suspect identified
fbd490978387b2e3b40e362353273d1973038fb58901353cf6c0b6850221cb6a,2021-05,Gwent Police,Gwent Police,-3.281712,51.757012,On or near BRYN-TEG CRESCENT,W01001375,Caerphilly 001B,Investigation complete; no suspect identified
6d72ffebf3c62bec0155eb4cf70f2ae759696dc6df5099ff53b5378494697435,2021-05,Gwent Police,Gwent Police,-2.883015,51.581287,On or near MOOR VIEW,W01001649,Newport 004D,Investigation complete; no suspect identified
87fc2a784c5c5ca13407986952e28990d40b989e9d0811f6ab9bfd00b5e85e07,2021-05,Gwent Police,Gwent Police,-3.218595,51.795547,On or near A4046,W01001438,Blaenau Gwent 004A,Investigation complete; no suspect identified
adbc64bbabe3a6821129a43a779e6741322fa7cb029ad2c58084714a27d41453,2021-05,Gwent Police,Gwent Police,-3.017648,51.822176,On or near Theatre/Concert Hall,W01001579,Monmouthshire 001E,Investigation complete; no suspect identified
81e84bacf550380bd21db5b82edb8481ee0132073cb855b4d7982d624cdfc025,2021-05,Gwent Police,Gwent Police,-3.228819,51.593174,On or near CENTRAL STREET,W01001368,Caerphilly 019C,Investigation complete; no suspect identified
63c7d8a6af576bf9b1b081e855d01d24fd4713df652de28330af7749fd3f824a,2021-05,Gwent Police,Gwent Police,-2.972118,51.588640,On or near CHEPSTOW ROAD,W01001613,Newport 011C,Investigation complete; no suspect identified
1185c2b9e234106a833957ff6eb1db7eb93807b798d40a983e79184d648054fb,2021-05,Gwent Police,Gwent Police,-2.981180,51.583133,On or near ARGOSY WAY,W01001690,Newport 013D,Investigation complete; no suspect identified
a38d71313c556901ff76e313331d07fca0c4062a592b60f0f4a163e8f5cd0e76,2021-05,Gwent Police,Gwent Police,-3.133616,51.644360,On or near RHYSWG ROAD,W01001327,Caerphilly 014A,Investigation complete; no suspect identified
da9fb95800be69eeb42b2d209071b3dfd0dcfc549fdae058a819cbc3e5a908cc,2021-05,Gwent Police,Gwent Police,-3.081602,51.777844,On or near Parking Area,W01001488,Torfaen 001B,Investigation complete; no suspect identified
c81dc6ae978ad711a43a0b108ef4d248bd74466f7e8e916276061c24bee718b1,2021-05,Gwent Police,Gwent Police,-3.233742,51.719321,On or near GRAIG-Y-BEDW,W01001384,Caerphilly 002C,Investigation complete; no suspect identified
e628c59a70fede3fc9f7cd4a669216e19f3c1c73f77e909fb1e21cfa62b210f5,2021-05,Gwent Police,Gwent Police,-3.074931,51.594496,On or near MARIGOLD CLOSE,W01001636,Newport 020A,Investigation complete; no suspect identified
074f2902fb8c404c19c02bf2917ec17a84ce467867888392088c74c6ebc75373,2021-05,Gwent Police,Gwent Police,-3.147503,51.804912,On or near HEADS OF THE VALLEYS ROAD,W01001446,Blaenau Gwent 002A,Investigation complete; no suspect identified
18e6f6778c1cf2c13be399b7b44ced8c089e9dda2fbcd54cec9e36bb87e722cc,2021-05,Gwent Police,Gwent Police,-3.032864,51.582483,On or near GROVES ROAD,W01001604,Newport 012D,Investigation complete; no suspect identified
6135f70781c3faf3f91b484e20004e8a7842f45e64feed860598e43f8961ed8b,2021-05,Gwent Police,Gwent Police,-3.105582,51.773287,On or near Parking Area,W01001489,Torfaen 001C,Investigation complete; no suspect identified
4c89baedcf492060f370ccd72dfd73664a510a5625adf3b32b3b1775ea8e1efa,2021-05,Gwent Police,Gwent Police,-3.284310,51.759700,On or near Petrol Station,W01001375,Caerphilly 001B,Investigation complete; no suspect identified
